,Company,Sector,Industry,Country,Website,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio, / 21.54,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS growth next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility (Week),Volatility (Month),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
5022,HCWB,HCW Biologics Inc.,Healthcare,Biotechnology,,,,0.5,43.70%,35.88M,3.65%,81.05M,,0.66,1.19%,14.43M,10.26%,17.90M,,0.15,1.80%,0.16% / 1.20,,3.60M,22.52,15.70%,13.74%,0.02M,13.54%,0.91,2.28,8.20%,37.90%,7,8.27%,0.72,2.87,,45.10%,1.08  2.79,8.26%,,,,34.40%,25.70%,1.2,,6.6,,22.20%,91.94%,0.11,44,6.6,98.70%,,49.29,6.28%,4.80%,No,0.2,145.80%,,0.33,2.04,Yes,0.2,Aug 11 BMO,,19.31K,2.07,2,1.92%,0.40%,10.11%,"5,025",1.62%
5023,HCVI,Hennessy Capital Investment Corp. VI,Financial,Shell Companies,,,44.26,0.23,,45.46M,0.22%,469.44M,,,,34.09M,0.42%,9.90M,,,86.19%,0.01% / 0.03,,,,497.90%,7.56%,0.00M,3.44%,14.6,0.71,,2.90%,,6.76%,0.01,1564.8,,3.00%,9.66  10.60,4.49%,,,,,2.71%,0.05,,0.3,,,6.76%,0.02,,0.3,,,61.74,0.18%,0.15%,No,0,76.40%,,0.02,10.32,Yes,0,,0.00%,123.84K,10.31,,0.21%,0.56%,2.87%,"2,118",0.07%
5024,HCTI,"Healthcare Triangle, Inc.",Healthcare,Health Information Services,,,,0.28,63.06%,41.86M,10.32%,15.62M,,,0.00%,1.58M,15.11%,10.90M,,,7.90%,8.70% / 0.16,,44.70M,0.35,29.40%,,0.14M,52.09%,0.22,16.59,,,,50.00%,0.07,52.07,,,1.11  10.89,103.12%,,,,70.80%,66.48%,1.46,,0.9,,22.40%,228.84%,0.51,55,0.9,11.70%,,46.01,7.86%,12.83%,No,0.31,38.30%,,0.16,3.71,Yes,0,Aug 10 AMC,,852.00K,3.65,2,13.53%,4.95%,26.12%,"107,426",1.61%
5025,HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,,RUT,25.23,0.51,0.78%,74.48M,0.08%,945.95M,16.57,0.77,0.01%,73.62M,13.29%,37.80M,2.8,0.17,102.21%,3.30% / 3.09,,1.67B,0.56,23.90%,6.20%,2.43M,4.62%,6.05,2.11,22.35%,5.20%,15.6,9.03%,1.65,7.76,9.00%,8.70%,11.55  15.97,6.58%,0.86,,17.10%,9.50%,19.91%,0.4,6.72%,2.8,1.90%,12.10%,10.74%,0.41,35700,2.9,1.40%,2.70%,36.91,2.48%,3.44%,Yes,0.09,25.70%,2.30%,0.26,12.74,Yes,0,Jul 26 BMO,84.50%,785.41K,12.79,2.7,4.93%,8.62%,6.68%,"165,291",0.39%
5026,HCP,"HashiCorp, Inc.",Technology,Software  Infrastructure,,,,1.33,0.30%,190.81M,0.34%,5.49B,458.44,0.06,70.05%,87.94M,2.55%,249.30M,,0.04,74.60%,6.81% / 2.65,,513.00M,10.69,7.40%,13.42%,5.99M,6.26%,6.26,4.69,123.10%,15.80%,32.31,28.18%,6.9,4.25,,20.60%,21.50  44.34,7.32%,,,,24.70%,33.83%,1.13,,4.2,,81.60%,36.47%,1.31,2400,4.2,36.80%,55.90%,54.25,4.55%,3.91%,Yes,0,34.70%,48.60%,0.49,27.98,Yes,0,Jun 07 AMC,,2.26M,29.34,2.2,2.30%,2.71%,1.50%,"892,128",4.86%
5027,HCMA,HCM Acquisition Corp,Financial,Shell Companies,,,49.32,0.22,,38.81M,1.02%,153.42M,,,,13.01M,3.93%,8.50M,,,58.50%,0.00% / 0.09,,,,,9.87%,0.00M,8.18%,7.58,1.43,,2.90%,,,0.04,306.84,,3.00%,10.01  10.90,5.75%,,,,,0.46%,0.01,,0.3,,,8.39%,0.05,,0.3,,,69.53,0.04%,0.18%,No,0,88.00%,,0,10.85,Yes,0,,0.00%,6.11K,10.85,,1.94%,3.24%,6.07%,1,0.00%
5028,HCM,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers  Specialty & Generic,,,,0.2,0.41%,169.39M,14.44%,2.37B,,,0.00%,88.68M,8.46%,29.40M,,,24.00%,1.17% / 8.94,,757.20M,3.13,73.50%,19.38%,1.04M,23.16%,4.62,3.05,,2.40%,29.82,0.28%,5.09,2.77,,3.70%,7.39  21.28,4.60%,,988.94,,64.30%,33.74%,1.01,,3,,49.50%,90.80%,0.96,2025,3.2,238.60%,13.10%,51.4,5.61%,5.01%,Yes,0,238.40%,3.90%,0.39,14.23,Yes,0.05,Jul 31 BMO,,115.91K,14.1,2,0.80%,9.89%,0.66%,"36,522",0.91%
5029,HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services,,RUT,19.33,1.25,7.50%,27.03M,3.12%,664.64M,14.38,1.68,0.00%,24.32M,6.69%,38.50M,1.29,0.37,78.50%,1.63% / 3.26,,289.30M,2.3,1.00%,1.65%,0.40M,7.40%,2.35,10.25,8.55%,19.10%,24.67,9.50%,0.61,39.33,15.00%,34.80%,17.10  24.14,18.26%,0.44,18.94,13.80%,34.70%,0.21%,0.85,1.83%,1.6,1.20%,39.60%,40.86%,0.59,1175,1.6,5.90%,18.30%,67.71,3.60%,2.49%,Yes,0.91,9.30%,13.30%,0.7,23.9,Yes,0.91,May 09 AMC,34.70%,121.22K,24.09,2,4.00%,9.51%,16.30%,"68,451",0.79%
5030,HCI,"HCI Group, Inc.",Financial,Insurance  Property & Casualty,,RUT,,5.23,18.20%,8.28M,0.87%,516.61M,25.38,2.34,0.87%,5.98M,0.92%,41.10M,,0.4,69.90%,22.27%,,501.60M,1.03,133.40%,8.90%,1.33M,21.91%,21.78,2.73,28.15%,,80.67,1.58%,34.71,1.71,25.00%,,27.65  70.00,49.99%,1.6,,46.90%,12.50%,15.17%,0.87,2.69%,,15.30%,,114.76%,2.55,578,,1.60%,,46.8,5.26%,3.35%,Yes,0,1598.60%,,1.05,62.31,Yes,1.09,,,70.82K,59.38,2,2.17%,0.06%,18.86%,"59,719",4.70%
5031,HCDIP,"Harbor Custom Development, Inc.",Real Estate,Real Estate  Development,,,10.94,0.46,15.83%,1.20M,1.47%,2.12M,,,0.00%,1.01M,6.71%,,,,67.02%,0.01% / 0.01,,36.01M,0.06,,,0.00M,16.42%,8.14,0.62,,,12,64.39%,,,,,3.11  14.75,21.61%,2,,,,65.72%,0.13,39.63%,,,,62.59%,0.21,41,,67.90%,,45.36,2.62%,3.97%,No,,,,0.05,5.02,Yes,,,,7.68K,5.06,,2.68%,3.27%,15.72%,288,0.73%
5032,HCDI,"Harbor Custom Development, Inc.",Real Estate,Real Estate  Development,,,,43.46,20.52%,0.72M,13.82%,1.91M,,,0.00%,0.54M,30.88%,31.10M,,0.07,9.60%,18.29% / 0.32,,36.00M,0.05,80.10%,60.18%,0.10M,73.16%,8.27,0.25,,13.60%,12,92.30%,8.46,0.25,,167.80%,2.07  29.00,71.75%,,,62.60%,7.90%,92.78%,0.44,,,43.30%,23.70%,1.17%,0.25,41,,67.80%,66.40%,27.86,8.51%,9.19%,No,25.63,,86.30%,0.39,2.12,Yes,3.85,Aug 14 BMO,,308.24K,2.09,2,17.76%,30.15%,72.36%,"97,563",1.08%
5033,HCCI,"HeritageCrystal Clean, Inc",Industrials,Waste Management,,RUT,12.1,3.73,6.50%,23.65M,1.89%,1.11B,15.15,2.98,0.27%,16.65M,10.28%,88.50M,0.81,0.54,65.00%,1.76% / 1.54,,763.40M,1.45,38.40%,6.27%,0.29M,18.24%,18.86,2.4,16.52%,12.00%,46.6,25.95%,1.44,31.36,15.00%,21.40%,25.70  47.98,39.10%,,24.49,30.20%,15.60%,5.84%,1.25,,1.3,14.20%,,75.80%,0.92,1793,1.7,38.80%,16.40%,59.25,1.58%,2.02%,Yes,0.2,28.50%,11.60%,1,45.22,Yes,0.19,Aug 09 AMC,0.00%,189.59K,45.18,1.8,0.73%,11.80%,27.62%,"152,314",0.09%
5034,HCC,"Warrior Met Coal, Inc.",Basic Materials,Coking Coal,,RUT,3.08,13.07,1.54%,51.84M,1.34%,2.01B,9.65,4.17,0.00%,51.19M,2.87%,677.30M,,1.33,96.99%,6.83% / 5.50,,1.87B,1.08,322.80%,3.10%,3.50M,9.79%,30.44,1.32,46.26%,32.00%,45.67,35.81%,17.39,2.31,,45.30%,25.74  44.82,18.92%,0.28,3.96,9.50%,37.00%,10.28%,1.13,0.70%,8.7,8.30%,55.10%,56.21%,1.52,412,9.7,34.60%,42.90%,49.19,3.60%,3.44%,Yes,0.21,23.90%,34.30%,0.46,40.63,Yes,0.19,May 03 AMC,1.90%,636.04K,40.21,2.4,1.97%,3.81%,9.70%,"236,764",1.03%
5035,HCAT,"Health Catalyst, Inc.",Healthcare,Health Information Services,,RUT,,2.73,3.40%,55.48M,7.09%,737.53M,117.8,0.11,2.06%,54.87M,3.46%,148.10M,,0,91.90%,2.03% / 2.67,,282.00M,2.62,20.70%,6.76%,1.11M,8.94%,7.3,1.76,3533.33%,19.20%,15.08,1.90%,6.21,2.07,,34.10%,6.40  15.87,20.79%,,,8.80%,20.80%,19.09%,1.29,,4.2,30.50%,48.20%,100.62%,0.58,728,4.2,8.50%,53.40%,48.87,5.83%,3.89%,Yes,0,41.20%,52.50%,0.56,12.39,Yes,0.56,May 09 AMC,,415.88K,12.84,2.1,2.40%,3.42%,9.07%,"188,594",3.63%
5036,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,,S&P 500,13.28,20.34,0.10%,274.49M,0.51%,74.86B,13.23,20.41,10.76%,205.22M,8.75%,5.77B,1.32,4.13,66.80%,0.99% / 1.54,,61.92B,1.21,9.50%,2.38%,2.03M,5.41%,8.39,,10.80%,11.00%,321.57,24.62%,3.11,86.85,10.05%,211.10%,178.32  304.86,12.55%,2.4,17.5,23.10%,20.50%,11.41%,1.61,0.89%,1,6.70%,84.40%,51.45%,5.5,207000,1.2,7.00%,15.00%,37.02,1.46%,1.96%,Yes,,9.90%,9.30%,0.46,268.05,Yes,,Jul 27 BMO,11.20%,1.32M,270.07,1.8,3.03%,4.75%,3.90%,"485,142",0.75%
5037,HBT,"HBT Financial, Inc.",Financial,Banks  Regional,,RUT,10.54,1.87,0.10%,31.98M,1.15%,632.84M,8.95,2.2,35.20%,12.73M,4.29%,56.40M,,0.59,25.60%,1.25% / 3.73,,192.50M,3.29,3.50%,2.56%,0.16M,9.01%,14.1,1.4,8.32%,1.20%,21.83,6.55%,3.42,5.76,,13.80%,16.33  23.49,0.61%,0.68,11.38,8.90%,28.10%,16.18%,0.87,3.45%,,3.70%,,20.58%,0.47,711,,58.70%,88.10%,51.63,2.90%,2.41%,Yes,0.2,18.20%,29.30%,0.17,19.74,Yes,0.2,Jul 24 BMO,35.20%,42.61K,19.69,2.8,0.68%,2.85%,0.06%,"5,778",0.25%
5038,HBNC,"Horizon Bancorp, Inc.",Financial,Banks  Regional,,RUT,6.57,1.88,1.10%,43.58M,1.44%,542.13M,8.93,1.38,0.40%,42.53M,15.80%,82.00M,,0.37,57.00%,2.68% / 4.63,,275.00M,1.97,7.90%,0.49%,1.14M,22.38%,16.12,0.76,11.33%,1.20%,13.7,37.10%,3.86,3.19,,13.90%,7.69  20.64,18.37%,0.64,9.01,15.90%,22.40%,40.36%,0.93,5.20%,,12.90%,,60.08%,0.4,852,,37.80%,73.20%,59.95,2.65%,3.60%,Yes,2.03,22.70%,34.00%,0.21,12.36,Yes,2.03,,28.90%,246.41K,12.31,2.2,2.83%,11.63%,4.67%,"41,557",0.40%
5039,HBM,Hudbay Minerals Inc.,Basic Materials,Copper,,,88.44,0.06,0.07%,262.03M,3.66%,2.82B,6.16,0.88,0.00%,235.43M,0.46%,16.10M,,0.06,67.60%,4.36% / 4.40,,1.84B,1.53,128.70%,1.38%,10.27M,1.79%,8.02,0.67,70.43%,0.30%,7.93,17.03%,0.65,8.26,,0.80%,3.62  6.34,6.41%,0.02,8.32,14.10%,6.70%,14.91%,2.03,0.37%,0.8,0.80%,18.70%,49.03%,0.21,2241,1.2,22.00%,10.20%,49.38,4.22%,3.41%,Yes,0.81,91.50%,0.90%,0.94,5.39,Yes,0.78,Aug 08 AMC,24.70%,2.33M,5.39,1.9,2.56%,5.73%,5.51%,"1,755,642",0.09%
5040,HBIO,"Harvard Bioscience, Inc.",Healthcare,Medical Instruments & Supplies,,RUT,,0.05,6.20%,42.12M,13.04%,177.20M,11.05,0.38,2.75%,39.25M,26.19%,2.00M,,0.06,73.50%,2.49% / 3.32,,114.50M,1.55,133.30%,2.37%,0.98M,29.63%,1.76,2.39,37.18%,1.40%,6.92,26.13%,0.09,46.63,10.00%,2.70%,1.98  6.29,51.62%,,47.89,55.10%,6.10%,33.23%,1.63,,1.1,7.90%,55.00%,112.12%,0.26,436,2.3,4.20%,1.30%,26.11,8.35%,5.13%,Yes,0.59,108.70%,1.80%,0.22,4.23,Yes,0.55,Aug 08 BMO,,294.89K,4.2,1.7,12.92%,21.60%,6.95%,"52,746",0.71%
5041,HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,,RUT,,0.8,0.40%,350.44M,4.03%,1.89B,7.47,0.74,0.00%,345.91M,17.73%,279.80M,,0.02,87.00%,14.19% / 5.98,,6.05B,0.31,125.60%,6.35%,49.09M,3.06%,0.97,5.72,142.48%,4.10%,4.64,52.03%,0.62,8.89,0.80%,52.80%,3.85  11.31,12.81%,,,30.80%,0.80%,50.97%,1.64,,0.6,0.70%,34.90%,44.03%,0.27,51000,1.7,11.90%,6.70%,62.64,6.62%,5.13%,Yes,11.22,130.20%,4.60%,1,5.27,Yes,10.57,Aug 10 BMO,,8.20M,5.55,3.2,9.93%,16.96%,1.89%,"6,613,861",5.22%
5042,HBCP,"Home Bancorp, Inc.",Financial,Banks  Regional,,RUT,6.74,5.21,0.20%,8.09M,0.54%,288.17M,9.14,3.84,10.37%,7.07M,0.86%,42.30M,,1,40.60%,0.82% / 3.75,,149.00M,1.93,27.90%,2.32%,0.06M,11.23%,42.67,0.82,14.74%,1.00%,40.75,14.16%,13.09,2.68,,10.30%,27.75  43.45,12.32%,1,7.08,9.50%,26.10%,19.22%,0.67,2.85%,,11.10%,,26.51%,0.92,475,,54.90%,74.00%,51.92,1.98%,2.67%,Yes,0.17,163.50%,22.90%,0.43,34.81,Yes,0.17,Jul 17 AMC,22.20%,15.39K,35.1,2.4,0.34%,2.51%,4.07%,"5,254",0.83%
5043,HBB,Hamilton Beach Brands Holding Company,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,,10.91,0.96,2.10%,14.07M,1.55%,139.72M,,,5.08%,5.78M,3.47%,13.30M,,,43.90%,1.76% / 7.06,,622.90M,0.22,18.00%,2.72%,0.10M,17.06%,8.42,1.24,,3.40%,,11.74%,0.16,63.51,,11.20%,9.21  14.93,15.66%,0.44,3.18,1.70%,13.40%,30.01%,0.69,4.21%,1.2,0.90%,19.60%,13.46%,0.47,700,2.7,12.40%,3.40%,55.24,6.02%,3.83%,Yes,0.67,166.70%,2.10%,0.38,10.77,Yes,0.67,Aug 02 AMC,43.80%,14.40K,10.45,,3.61%,4.59%,8.78%,"4,392",2.97%
5044,HBANL,Huntington Bancshares Incorporated,Financial,Banks  Regional,,,,,,13.00M,0.18%,17.62B,,,,13.00M,0.09%,,,,32.83%,0.08% / 0.20,,7.24B,2.43,,,0.01M,,11.26,2.13,,,12.81,,,,,,17.00  25.18,4.82%,1.72,,,,4.82%,,7.17%,,,,40.99%,0.33,20198,,4.20%,,46.84,1.21%,1.33%,No,,3.70%,,0.77,23.84,Yes,,,42.73%,49.65K,23.97,,0.00%,1.60%,0.22%,"30,670",0.53%
5045,HBAN,Huntington Bancshares Incorporated,Financial,Banks  Regional,,S&P 500,7.73,1.55,0.60%,1.45B,1.67%,17.38B,9.35,1.28,2.41%,1.43B,5.70%,2.27B,,0.33,83.70%,2.88% / 3.06,,7.70B,2.26,61.90%,1.69%,41.30M,21.45%,11.27,1.06,7.24%,1.20%,12.81,14.13%,9.85,1.22,2.15%,14.40%,9.13  15.74,14.99%,0.62,9.06,10.80%,17.80%,23.84%,1.09,5.17%,,11.70%,,31.29%,0.29,20198,,67.20%,68.20%,56.62,2.00%,2.41%,Yes,0.55,1.40%,29.50%,0.52,11.96,Yes,0.55,Jul 21 BMO,39.40%,13.50M,11.99,2.6,0.18%,6.27%,6.35%,"5,661,045",0.22%
5046,HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Equipment & Parts,,,41.57,0.35,0.30%,212.86M,1.06%,3.09B,19.36,0.74,98.11%,211.52M,6.38%,76.90M,,0.1,112.56%,9.79% / 9.93,,997.90M,3.1,32.50%,0.55%,20.70M,9.78%,5.97,2.42,24.37%,2.70%,15.11,24.68%,0.96,15.09,,6.30%,7.97  15.22,53.46%,,16.34,,9.90%,5.19%,1.01,,2,,45.30%,80.99%,0.52,2000,3.1,29.00%,16.80%,63.13,4.48%,3.86%,Yes,0.86,53.90%,7.70%,0.63,14.41,Yes,0.85,May 04 BMO,0.00%,2.08M,14.43,2.2,7.02%,15.16%,25.50%,"1,052,664",0.10%
5047,HAYN,"Haynes International, Inc.",Industrials,Metal Fabrication,,RUT,13.8,3.57,2.40%,12.61M,3.95%,593.65M,10.61,4.64,16.93%,12.44M,2.21%,45.20M,0.69,1.2,97.60%,1.34% / 3.22,,573.20M,1.04,619.00%,7.77%,0.17M,6.77%,32.79,1.5,34.69%,6.80%,58.75,14.45%,1.07,46.02,20.00%,11.40%,34.94  60.85,7.74%,0.88,,44.70%,9.40%,19.10%,1.54,1.79%,1.3,4.40%,19.50%,40.86%,1.51,1223,6.5,10.50%,10.50%,48.28,3.39%,2.99%,Yes,0,45.40%,7.90%,0.23,49.8,Yes,0.26,Aug 03 AMC,18.20%,51.65K,49.22,2,1.11%,0.53%,1.07%,"9,628",1.15%
5048,HAWX,iShares Currency Hedged MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,,,,,,,0.00%,,,,,,0.14%,,,,, / ,,,,,,,2.29%,,,,,,8.66%,,,,,23.15  28.91,10.19%,4.27,,,,2.76%,0.67,15.18%,,,,21.45%,0.22,,,,,46.66,0.58%,0.50%,No,,,,0.32,28.34,No,,,,20.56K,28.11,,0.74%,0.26%,3.66%,"5,224",0.81%
5049,HAUZ,Xtrackers International Real Estate ETF,Financial,Exchange Traded Fund,,,,,,,1.02%,,,,,,2.90%,,,,, / ,,,,,,,8.72%,,,,,,13.51%,,,,,18.50  23.83,4.36%,0.65,,,,14.31%,0.81,3.20%,,,,10.38%,0.26,,,,,40.53,0.92%,1.09%,Yes,,,,0.63,20.57,Yes,,,,82.19K,20.42,,2.36%,1.32%,3.56%,"41,253",0.73%
5050,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Real Estate,REIT  Specialty,,RUT,116.39,0.2,0.40%,109.36M,3.84%,2.57B,9.83,2.39,4.82%,104.58M,11.82%,19.60M,12,0.54,95.30%,9.28% / 7.99,,250.40M,10.25,69.10%,1.39%,9.71M,32.75%,17.75,1.32,8.73%,0.90%,40.25,48.12%,1.31,18,9.70%,2.50%,21.31  45.84,18.88%,1.58,,4.20%,0.90%,48.72%,1.69,6.72%,,17.70%,49.60%,10.32%,1.04,114,,18.10%,19.70%,41.76,5.45%,3.99%,Yes,2.08,49.80%,16.30%,0.81,23.12,Yes,2.08,Aug 03 AMC,306.50%,1.21M,23.51,2.1,8.76%,7.75%,18.12%,"794,118",1.69%
5051,HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,,S&P 500,76.55,0.86,0.20%,138.60M,3.26%,9.32B,13.11,5.02,0.00%,130.25M,0.70%,120.20M,283.51,1.83,86.00%,6.12% / 5.14,,5.69B,1.64,56.70%,0.61%,7.98M,15.84%,19.7,3.34,16.90%,2.20%,77.75,16.09%,2.63,24.99,0.27%,7.10%,45.75  84.19,7.90%,2.8,,23.60%,5.10%,21.81%,0.72,4.25%,1,2.40%,59.20%,43.89%,1.47,6490,1.3,13.90%,7.20%,58.33,2.46%,2.32%,Yes,1.44,136.40%,3.60%,0.34,65.09,Yes,1.35,Aug 03 BMO,190.20%,1.55M,65.83,1.6,2.39%,4.43%,10.74%,"426,690",1.14%
5052,HARP,"Harpoon Therapeutics, Inc.",Healthcare,Biotechnology,,,,1.73,9.54%,36.97M,4.21%,29.37M,,0.21,0.30%,34.01M,5.08%,58.70M,,0.34,69.50%,0.46% / 0.80,,34.60M,0.85,43.50%,4.26%,0.16M,24.54%,0.02,41.5,81.40%,67.70%,5.33,61.57%,1.74,0.48,,473.10%,0.54  3.35,14.39%,,,23.70%,,75.26%,1.51,,1.4,114.20%,,52.59%,0.05,45,1.4,45.80%,,58.23,8.35%,6.60%,Yes,7.43,50.40%,,0.28,0.83,Yes,7.43,Aug 09 AMC,,194.94K,0.83,1.9,4.30%,9.30%,7.11%,"43,948",0.28%
5053,HAP,VanEck Natural Resources ETF,Financial,Exchange Traded Fund,,,,,,,0.74%,,,,,,1.15%,,,,, / ,,,,,,,0.13%,,,,,,5.20%,,,,,42.27  53.40,2.48%,2.63,,,,5.51%,1.04,5.22%,,,,19.36%,0.53,,,,,57.25,0.90%,0.78%,Yes,,,,5.15,50.41,Yes,,,,17.93K,50.46,,0.43%,3.42%,2.00%,"74,103",0.09%
5054,HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,,RUT,33.68,1.3,0.80%,135.03M,3.49%,5.74B,12.03,3.65,12.28%,130.38M,11.94%,181.60M,1.3,0.63,96.56%,5.78% / 6.85,,705.00M,8.14,47.60%,3.77%,7.54M,11.12%,0.49,89.57,39.57%,10.10%,50.6,0.48%,2.11,20.82,26.00%,116.10%,29.85  59.46,22.86%,,21.77,26.00%,13.00%,26.19%,1.23,,5.5,15.80%,77.50%,47.04%,1.48,393,6.7,38.20%,34.50%,65.28,4.42%,3.89%,Yes,22.68,32.50%,25.80%,0.49,44.03,Yes,22.68,Aug 08 AMC,0.00%,1.10M,43.89,2.5,3.43%,15.60%,0.31%,"429,595",0.32%
5055,HALL,"Hallmark Financial Services, Inc.",Financial,Insurance  Property & Casualty,,,,94.03,14.13%,1.82M,2.12%,8.77M,,,0.00%,1.56M,23.45%,171.00M,,,34.90%,0.68% / 1.23,,114.10M,0.08,,45.87%,0.01M,46.27%,12.95,0.36,,,,80.93%,55.53,0.08,4.10%,,2.56  25.40,20.98%,,,67.70%,77.90%,81.83%,1.16,,,16.40%,,80.30%,0.34,257,,53.60%,,45.06,2.86%,6.81%,No,4.49,,,0.04,4.53,Yes,4.49,,,8.62K,4.62,3,5.61%,5.29%,29.92%,254,1.89%
5056,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,,S&P 500,14.97,2.71,0.30%,901.00M,2.63%,36.60B,11.82,3.44,15.73%,895.13M,7.52%,2.46B,0.53,0.77,84.70%,2.89% / 2.77,,22.41B,1.63,6.00%,0.89%,25.90M,7.78%,9.65,4.21,12.25%,10.50%,46.92,42.87%,2.33,17.39,28.37%,30.10%,23.30  43.42,3.15%,0.64,25.94,35.80%,13.40%,6.52%,2.18,1.58%,1.5,0.30%,18.10%,74.21%,1.03,47000,2.1,14.30%,16.50%,72.44,2.55%,2.61%,Yes,0,463.40%,11.00%,0.55,40.36,Yes,0.91,,20.60%,9.35M,40.59,1.7,5.35%,15.64%,14.52%,"4,137,647",0.57%
5057,HAIN,"The Hain Celestial Group, Inc.",Consumer Defensive,Packaged Foods,,RUT,,1.06,1.10%,89.42M,2.15%,1.08B,20.01,0.61,4.87%,88.38M,8.00%,94.80M,,0.1,98.17%,2.69% / 2.31,,1.81B,0.6,30.10%,5.74%,2.37M,35.39%,11.26,1.08,23.93%,4.00%,17.18,46.52%,0.49,24.65,,8.90%,10.98  25.48,25.06%,,,5.80%,4.20%,52.41%,0.93,,1.1,4.20%,21.30%,10.43%,0.44,3078,2.4,9.50%,4.80%,47.35,3.33%,3.20%,Yes,0.85,581.70%,5.20%,0.5,11.67,Yes,0.84,May 09 BMO,0.00%,1.03M,12.12,2.4,2.03%,2.20%,25.82%,"416,057",3.90%
5058,HAIL,SPDR S&P Kensho Smart Mobility ETF,Financial,Exchange Traded Fund,,,,,,,8.25%,,,,,,9.38%,,,,, / ,,,,,,,4.54%,,,,,,20.42%,,,,,27.84  43.72,13.92%,0.71,,,,23.24%,1.62,2.13%,,,,20.55%,0.94,,,,,37.97,2.88%,2.21%,Yes,,,,0.44,34.16,Yes,,,,5.41K,33.56,,8.58%,2.22%,3.18%,"1,895",1.74%
5059,HAIA,Financial,Shell Companies,Cayman Islands,,,54.68,0.2,,25.59M,2.04%,78.25M,,,,6.19M,3.00%,4.90M,,,77.80%,0.04% / 0.23,,,,25.60%,44.65%,0.00M,6.49%,8.37,1.31,,2.20%,,,0.03,391.24,,2.30%,9.96  11.05,7.12%,,,,,0.50%,0,,1.5,,,10.34%,0.09,,1.5,,,72,1.09%,0.41%,No,0,103.10%,,0,10.65,Yes,0,,0.00%,11.41K,10.99,,2.90%,3.58%,6.65%,33,3.19%
5060,HAFC,Hanmi Financial Corporation,Financial,Banks  Regional,,RUT,5.77,3.32,0.60%,30.35M,0.31%,581.06M,7.61,2.51,1.67%,30.06M,15.74%,100.80M,0.72,0.62,92.00%,1.88% / 2.90,,273.80M,2.12,3.20%,1.56%,0.57M,18.53%,21.82,0.88,4.16%,1.40%,20.8,27.13%,13.25,1.44,8.00%,16.00%,13.35  27.35,22.75%,1,4.95,12.90%,25.80%,30.09%,0.97,5.23%,,5.50%,,43.22%,0.53,626,,53.40%,86.50%,67.73,2.81%,2.88%,Yes,0.2,6.20%,36.80%,0.26,19.01,Yes,0.2,Jul 25 AMC,28.30%,195.28K,19.12,2.7,4.86%,14.40%,7.19%,"41,119",0.58%
5061,HAE,Haemonetics Corporation,Healthcare,Medical Instruments & Supplies,,RUT,40.6,2.25,0.80%,50.66M,1.76%,4.71B,21.97,4.16,2.31%,50.12M,6.69%,115.40M,4.06,0.73,101.32%,2.78% / 4.63,,1.17B,4.03,165.70%,0.60%,1.39M,13.69%,16.15,5.66,16.00%,6.20%,105.29,24.21%,5.52,16.56,10.00%,14.90%,71.63  95.26,16.24%,,28.93,10.40%,8.20%,4.03%,0.4,,2,5.30%,53.30%,27.63%,2.19,3034,3.1,14.90%,13.40%,57.28,3.32%,2.58%,Yes,0.94,205.70%,9.90%,0.41,90.97,Yes,0.92,,0.00%,300.82K,91.42,2.2,0.31%,4.31%,9.71%,"99,546",0.49%
5062,HACK,ETFMG Prime Cyber Security ETF,Financial,Exchange Traded Fund,,,,,,,0.06%,,,,,,0.43%,,,,, / ,,,,,,,8.46%,,,,,,0.76%,,,,,40.65  52.86,15.30%,0.11,,,,3.92%,0.92,0.21%,,,,24.94%,0.8,,,,,49.65,1.39%,1.38%,Yes,,,,0.24,50.79,Yes,,,,77.69K,50.79,,0.83%,0.75%,8.26%,"14,679",0.00%
